tree_size,lambda_index,sample_size,shd,precision,recall,percentage_hidden_nodes_recovered,number_of_edges_esitimation,number_of_edges_true,Normalized SHD
15,1,100000,15,0.36363636363636365,0.3333333333333333,133.33333333333331,11,12,0.6521739130434783
15,1,10000,6,0.875,0.5833333333333334,0.0,8,12,0.3
15,1,1000,13,0.45454545454545453,0.4166666666666667,66.66666666666666,11,12,0.5652173913043478
15,1,100,11,0.5555555555555556,0.4166666666666667,33.33333333333333,9,12,0.5238095238095238
15,1,10,12,0.5,0.08333333333333333,0.0,2,12,0.8571428571428571
15,2,100000,12,0.5,0.3333333333333333,66.66666666666666,8,12,0.6
15,2,10000,7,0.7777777777777778,0.5833333333333334,33.33333333333333,9,12,0.3333333333333333
15,2,1000,13,0.4444444444444444,0.3333333333333333,133.33333333333331,9,12,0.6190476190476191
15,2,100,16,0.3,0.25,66.66666666666666,10,12,0.7272727272727273
15,2,10,12,0.0,0.0,33.33333333333333,0,12,1.0
15,3,100000,9,0.6666666666666666,0.5,66.66666666666666,9,12,0.42857142857142855
15,3,10000,12,0.5,0.5833333333333334,200.0,14,12,0.46153846153846156
15,3,1000,11,0.5384615384615384,0.5833333333333334,133.33333333333331,13,12,0.44
15,3,100,13,0.45454545454545453,0.4166666666666667,133.33333333333331,11,12,0.5652173913043478
15,3,10,12,0.5,0.08333333333333333,33.33333333333333,2,12,0.8571428571428571
15,4,100000,13,0.4444444444444444,0.3333333333333333,66.66666666666666,9,12,0.6190476190476191
15,4,10000,12,0.5,0.5,133.33333333333331,12,12,0.5
15,4,1000,12,0.5,0.5833333333333334,166.66666666666669,14,12,0.46153846153846156
15,4,100,16,0.3333333333333333,0.3333333333333333,133.33333333333331,12,12,0.6666666666666666
15,4,10,18,0.125,0.08333333333333333,100.0,8,12,0.9
15,5,100000,8,0.7,0.5833333333333334,66.66666666666666,10,12,0.36363636363636365
15,5,10000,18,0.2857142857142857,0.3333333333333333,200.0,14,12,0.6923076923076923
