alpha,p_value_paramater,node_sizes,shd,precision,recall,percentage_hidden_nodes_recovered,number_of_edges_esitimation,number_of_edges_true,Normalized SHD
0.05,0.05,10,5,0.8,0.5,0.0,5,8,0.38461538461538464
0.05,0.05,15,11,0.5714285714285714,0.6153846153846154,200.0,14,13,0.4074074074074074
0.05,0.05,20,16,0.5294117647058824,0.5294117647058824,150.0,17,17,0.47058823529411764
0.05,0.05,25,19,0.5555555555555556,0.47619047619047616,50.0,18,21,0.48717948717948717
0.05,0.05,30,20,0.64,0.5925925925925926,100.0,25,27,0.38461538461538464
0.05,0.05,35,27,0.6086956521739131,0.4375,66.66666666666666,23,32,0.4909090909090909
0.05,0.05,40,33,0.55,0.5945945945945946,200.0,40,37,0.42857142857142855
0.05,0.07500000000000001,10,9,0.3333333333333333,0.125,50.0,3,8,0.8181818181818182
0.05,0.07500000000000001,15,15,0.42857142857142855,0.46153846153846156,200.0,14,13,0.5555555555555556
0.05,0.07500000000000001,20,16,0.5333333333333333,0.47058823529411764,150.0,15,17,0.5
0.05,0.07500000000000001,25,22,0.47368421052631576,0.42857142857142855,75.0,19,21,0.55
0.05,0.07500000000000001,30,22,0.6086956521739131,0.5185185185185185,83.33333333333334,23,27,0.44
0.05,0.07500000000000001,35,22,0.7272727272727273,0.5,33.33333333333333,22,32,0.4074074074074074
0.05,0.07500000000000001,40,30,0.6060606060606061,0.5405405405405406,100.0,33,37,0.42857142857142855
0.05,0.1,10,9,0.42857142857142855,0.375,100.0,7,8,0.6
0.05,0.1,15,13,0.5,0.5384615384615384,200.0,14,13,0.48148148148148145
0.05,0.1,20,24,0.26666666666666666,0.23529411764705882,100.0,15,17,0.75
0.05,0.1,25,20,0.5263157894736842,0.47619047619047616,100.0,19,21,0.5
0.05,0.1,30,19,0.6538461538461539,0.6296296296296297,100.0,26,27,0.3584905660377358
0.05,0.1,35,24,0.7,0.4375,16.666666666666664,20,32,0.46153846153846156
0.05,0.1,40,30,0.6,0.5675675675675675,133.33333333333331,35,37,0.4166666666666667
0.060000000000000005,0.05,10,8,0.5,0.25,50.0,4,8,0.6666666666666666
0.060000000000000005,0.05,15,9,0.6666666666666666,0.6153846153846154,100.0,12,13,0.36
0.060000000000000005,0.05,20,15,0.5625,0.5294117647058824,100.0,16,17,0.45454545454545453
0.060000000000000005,0.05,25,18,0.6153846153846154,0.38095238095238093,25.0,13,21,0.5294117647058824
0.060000000000000005,0.05,30,22,0.5925925925925926,0.5925925925925926,100.0,27,27,0.4074074074074074
0.060000000000000005,0.05,35,26,0.625,0.46875,66.66666666666666,24,32,0.4642857142857143
0.060000000000000005,0.05,40,40,0.46153846153846156,0.4864864864864865,183.33333333333331,39,37,0.5263157894736842
0.060000000000000005,0.07500000000000001,10,9,0.42857142857142855,0.375,100.0,7,8,0.6
0.060000000000000005,0.07500000000000001,15,9,0.6428571428571429,0.6923076923076923,200.0,14,13,0.3333333333333333
0.060000000000000005,0.07500000000000001,20,15,0.5555555555555556,0.5882352941176471,175.0,18,17,0.42857142857142855
0.060000000000000005,0.07500000000000001,25,24,0.4117647058823529,0.3333333333333333,50.0,17,21,0.631578947368421
0.060000000000000005,0.07500000000000001,30,18,0.68,0.6296296296296297,100.0,25,27,0.34615384615384615
